_Eihop,_P0,hops,d,_R,_Nb
1.04,0.208,1,135,250,90
0.828,0.190,1,135,250,90
0.25,0.28,1,135,250,90
0.18,0.28,2,67,250,90
0.216,0.100,1,135,250,90
0.288,0.104,1,135,250,90
0.03,0.14,1,135,250,90
0.655,0.176,1,135,250,90
0.36,0.43,1,135,250,90
0.237,0.93,1,135,250,90
0.158,0.86,1,135,250,90
0.129,0.72,2,67,250,90
0.489,0.144,2,67,250,90
0.39,0.43,1,135,250,90
0.216,0.100,1,135,250,90
0.954,0.201,2,67,250,90
0.03,0.14,1,135,250,90
0.349,0.126,2,67,250,90
0.111,0.72,1,135,250,90
1.36,0.208,1,135,250,90
0.903,0.194,1,135,250,90
0.889,0.205,1,135,250,90
0.500,0.147,1,135,250,90
0.82,0.46,1,135,250,90
0.216,0.100,2,67,250,90
0.615,0.165,1,135,250,90
0.129,0.72,1,135,250,90
0.266,0.111,2,67,250,90
0.39,0.43,1,135,250,90
0.75,0.57,2,67,250,90
0.655,0.176,1,135,250,90
0.154,0.82,2,67,250,90
0.10,0.14,1,135,250,90
1.36,0.208,1,135,250,90
0.853,0.180,1,135,250,90
0.975,0.208,1,135,250,90
0.550,0.162,1,135,250,90
0.914,0.194,1,135,250,90
0.07,0.14,1,135,250,90
0.136,0.75,2,67,250,90
0.565,0.162,1,135,250,90
0.36,0.43,1,135,250,90
0.03,0.14,2,67,250,90
0.86,0.57,1,135,250,90
1.105,0.223,2,67,250,90
0.25,0.28,2,67,250,90
0.414,0.133,1,135,250,90
0.442,0.144,2,67,250,90
0.86,0.57,1,135,250,90
0.500,0.147,2,67,250,90
0.972,0.208,1,135,250,90
0.860,0.187,2,67,250,90
0.529,0.151,1,135,250,90
0.205,0.93,2,67,250,90
0.561,0.151,1,135,250,90
0.50,0.43,1,135,250,90
0.619,0.162,1,135,250,90
0.54,0.43,1,135,250,90
0.18,0.28,1,135,250,90
0.158,0.86,1,135,250,90
0.475,0.140,1,135,250,90
0.28,0.28,1,135,250,90
0.421,0.136,1,135,250,90
0.331,0.118,1,135,250,90
0.03,0.14,1,135,250,90
