_Eihop,_P0,hops,d,_R,_Nb
0.291,0.108,1,135,250,90
0.18,0.28,2,67,250,90
0.396,0.115,2,67,250,90
0.504,0.133,1,135,250,90
0.72,0.46,2,67,250,90
0.853,0.180,1,135,250,90
0.291,0.108,1,135,250,90
0.579,0.144,2,67,250,90
0.32,0.36,2,67,250,90
0.79,0.54,1,135,250,90
0.838,0.169,1,135,250,90
0.363,0.111,1,135,250,90
0.183,0.82,1,135,250,90
0.813,0.172,1,135,250,90
0.82,0.57,1,135,250,90
0.878,0.187,1,135,250,90
0.72,0.50,1,135,250,90
0.86,0.57,1,135,250,90
0.471,0.136,1,135,250,90
0.147,0.75,1,135,250,90
0.54,0.46,1,135,250,90
0.147,0.75,1,135,250,90
0.374,0.115,1,135,250,90
0.32,0.36,1,135,250,90
0.21,0.28,1,135,250,90
0.295,0.108,1,135,250,90
0.712,0.165,1,135,250,90
0.446,0.129,1,135,250,90
0.75,0.54,1,135,250,90
0.172,0.75,1,135,250,90
0.568,0.144,1,135,250,90
0.795,0.169,1,135,250,90
0.108,0.64,1,135,250,90
0.241,0.97,1,135,250,90
0.540,0.136,1,135,250,90
0.842,0.176,1,135,250,90
0.961,0.194,1,135,250,90
0.403,0.122,1,135,250,90
0.612,0.154,1,135,250,90
0.172,0.79,1,135,250,90
0.838,0.176,1,135,250,90
0.637,0.147,1,135,250,90
0.820,0.172,1,135,250,90
0.180,0.82,1,135,250,90
0.57,0.46,1,135,250,90
0.306,0.104,1,135,250,90
0.14,0.18,1,135,250,90
0.136,0.68,1,135,250,90
0.738,0.165,1,135,250,90
0.10,0.18,1,135,250,90
0.18,0.28,1,135,250,90
0.32,0.36,1,135,250,90
0.702,0.165,1,135,250,90
0.115,0.68,1,135,250,90
0.961,0.194,1,135,250,90
0.82,0.57,1,135,250,90
0.32,0.36,1,135,250,90
0.478,0.129,1,135,250,90
0.536,0.140,1,135,250,90
0.18,0.28,1,135,250,90
0.666,0.158,1,135,250,90
0.583,0.144,1,135,250,90
0.54,0.46,1,135,250,90
0.32,0.36,1,135,250,90
0.540,0.144,1,135,250,90
0.446,0.129,1,135,250,90
0.25,0.28,1,135,250,90
0.853,0.180,1,135,250,90
0.190,0.86,1,135,250,90
0.666,0.158,1,135,250,90
0.14,0.25,1,135,250,90
0.07,0.18,1,135,250,90
0.108,0.64,1,135,250,90
0.680,0.162,1,135,250,90
0.320,0.104,1,135,250,90
0.532,0.144,1,135,250,90
0.61,0.46,1,135,250,90
0.237,0.97,1,135,250,90
0.154,0.75,1,135,250,90
0.169,0.79,1,135,250,90
0.21,0.25,1,135,250,90
0.122,0.68,1,135,250,90
0.21,0.28,1,135,250,90
0.558,0.147,1,135,250,90
0.291,0.108,1,135,250,90
0.122,0.68,1,135,250,90
0.752,0.169,1,135,250,90
0.813,0.172,1,135,250,90
0.511,0.136,1,135,250,90
0.619,0.147,1,135,250,90
0.860,0.183,1,135,250,90
0.410,0.126,1,135,250,90
0.471,0.136,1,135,250,90
0.54,0.46,1,135,250,90
0.108,0.61,1,135,250,90
0.54,0.46,1,135,250,90
0.82,0.57,1,135,250,90
0.435,0.126,1,135,250,90
0.115,0.68,1,135,250,90
0.226,0.90,1,135,250,90
0.36,0.36,1,135,250,90
0.147,0.75,1,135,250,90
0.306,0.100,1,135,250,90
0.115,0.68,1,135,250,90
0.158,0.79,1,135,250,90
0.39,0.39,1,135,250,90
0.61,0.46,1,135,250,90
0.115,0.68,1,135,250,90
0.295,0.100,1,135,250,90
0.435,0.126,1,135,250,90
0.597,0.151,1,135,250,90
0.846,0.180,1,135,250,90
0.619,0.147,1,135,250,90
0.36,0.36,1,135,250,90
0.446,0.129,1,135,250,90
0.295,0.104,1,135,250,90
0.82,0.57,1,135,250,90
0.291,0.108,1,135,250,90
0.507,0.136,1,135,250,90
0.597,0.151,1,135,250,90
0.687,0.154,1,135,250,90
0.270,0.97,1,135,250,90
0.104,0.61,1,135,250,90
0.54,0.46,1,135,250,90
0.223,0.90,1,135,250,90
0.10,0.18,1,135,250,90
0.54,0.46,1,135,250,90
0.867,0.183,1,135,250,90
0.550,0.140,1,135,250,90
0.943,0.190,1,135,250,90
0.615,0.154,1,135,250,90
0.662,0.158,1,135,250,90
0.504,0.136,1,135,250,90
0.68,0.50,1,135,250,90
0.882,0.187,1,135,250,90
0.237,0.97,1,135,250,90
0.316,0.111,1,135,250,90
0.122,0.68,1,135,250,90
0.82,0.57,1,135,250,90
0.594,0.147,1,135,250,90
0.75,0.50,1,135,250,90
0.738,0.165,1,135,250,90
0.144,0.75,1,135,250,90
0.133,0.68,1,135,250,90
0.406,0.126,1,135,250,90
0.691,0.165,1,135,250,90
0.604,0.151,1,135,250,90
0.18,0.28,1,135,250,90
0.54,0.46,1,135,250,90
0.244,0.90,1,135,250,90
0.619,0.147,1,135,250,90
0.03,0.14,1,135,250,90
0.633,0.151,1,135,250,90
0.154,0.75,1,135,250,90
0.543,0.144,1,135,250,90
0.399,0.126,1,135,250,90
0.468,0.136,1,135,250,90
0.748,0.169,1,135,250,90
0.32,0.36,1,135,250,90
0.432,0.126,1,135,250,90
0.846,0.176,1,135,250,90
0.774,0.172,1,135,250,90
0.176,0.79,1,135,250,90
0.97,0.57,1,135,250,90
0.338,0.115,1,135,250,90
0.237,0.97,1,135,250,90
0.925,0.187,1,135,250,90
0.468,0.136,1,135,250,90
0.25,0.28,1,135,250,90
0.766,0.172,1,135,250,90
0.928,0.187,1,135,250,90
0.266,0.97,1,135,250,90
0.46,0.39,1,135,250,90
0.183,0.82,1,135,250,90
0.500,0.136,1,135,250,90
0.295,0.108,1,135,250,90
0.957,0.194,1,135,250,90
0.104,0.61,1,135,250,90
0.838,0.180,1,135,250,90
0.756,0.169,1,135,250,90
0.334,0.115,1,135,250,90
0.18,0.28,1,135,250,90
0.853,0.180,1,135,250,90
0.550,0.147,1,135,250,90
0.540,0.147,1,135,250,90
0.698,0.165,1,135,250,90
0.313,0.108,1,135,250,90
0.903,0.183,1,135,250,90
0.921,0.187,1,135,250,90
0.21,0.28,1,135,250,90
0.75,0.54,1,135,250,90
0.36,0.36,1,135,250,90
0.885,0.180,1,135,250,90
0.781,0.176,1,135,250,90
0.885,0.180,1,135,250,90
0.968,0.194,1,135,250,90
0.14,0.21,1,135,250,90
0.698,0.158,1,135,250,90
0.79,0.57,1,135,250,90
