_Eihop,_P0,hops,d,_R,_Nb
0.133,0.64,1,135,250,90
0.399,0.108,2,67,250,90
0.104,0.57,2,67,250,90
0.583,0.133,1,135,250,90
0.309,0.93,1,135,250,90
0.18,0.25,2,67,250,90
0.158,0.68,1,135,250,90
0.03,0.10,1,135,250,90
0.248,0.86,2,67,250,90
0.79,0.46,1,135,250,90
0.464,0.115,2,67,250,90
0.10,0.18,1,135,250,90
0.14,0.21,2,67,250,90
0.666,0.144,1,135,250,90
0.378,0.108,1,135,250,90
0.79,0.50,1,135,250,90
0.129,0.64,1,135,250,90
0.90,0.50,1,135,250,90
0.144,0.64,1,135,250,90
0.61,0.43,1,135,250,90
0.475,0.118,1,135,250,90
0.32,0.32,1,135,250,90
0.342,0.104,1,135,250,90
0.111,0.57,1,135,250,90
0.633,0.133,1,135,250,90
0.03,0.10,1,135,250,90
0.684,0.144,1,135,250,90
0.669,0.144,1,135,250,90
0.450,0.115,1,135,250,90
0.03,0.10,1,135,250,90
0.604,0.133,1,135,250,90
0.712,0.147,1,135,250,90
0.511,0.122,1,135,250,90
0.43,0.36,1,135,250,90
0.392,0.111,1,135,250,90
0.309,0.97,1,135,250,90
0.399,0.108,1,135,250,90
0.03,0.10,1,135,250,90
0.18,0.21,1,135,250,90
0.622,0.136,1,135,250,90
0.428,0.115,1,135,250,90
0.18,0.25,1,135,250,90
0.86,0.50,1,135,250,90
0.374,0.100,1,135,250,90
0.03,0.10,1,135,250,90
0.309,0.97,2,67,250,90
0.464,0.118,2,67,250,90
0.622,0.136,1,135,250,90
0.165,0.64,1,135,250,90
0.162,0.72,1,135,250,90
0.07,0.18,1,135,250,90
0.180,0.72,2,67,250,90
0.43,0.36,1,135,250,90
0.590,0.133,2,67,250,90
0.378,0.108,1,135,250,90
0.522,0.126,1,135,250,90
0.82,0.50,1,135,250,90
0.133,0.64,1,135,250,90
0.687,0.144,1,135,250,90
0.97,0.54,1,135,250,90
0.536,0.129,1,135,250,90
0.219,0.82,1,135,250,90
0.561,0.129,1,135,250,90
0.97,0.54,1,135,250,90
0.716,0.144,1,135,250,90
0.183,0.75,1,135,250,90
0.104,0.57,1,135,250,90
0.486,0.122,1,135,250,90
0.666,0.140,1,135,250,90
0.327,0.97,1,135,250,90
0.18,0.25,1,135,250,90
0.684,0.144,1,135,250,90
0.331,0.97,1,135,250,90
0.637,0.140,1,135,250,90
0.248,0.86,1,135,250,90
0.532,0.129,1,135,250,90
0.165,0.72,1,135,250,90
0.97,0.54,1,135,250,90
0.208,0.79,1,135,250,90
0.32,0.32,1,135,250,90
0.579,0.133,1,135,250,90
0.183,0.75,1,135,250,90
0.370,0.104,1,135,250,90
0.388,0.111,1,135,250,90
0.64,0.43,1,135,250,90
0.342,0.104,1,135,250,90
0.320,0.97,1,135,250,90
0.536,0.129,1,135,250,90
0.115,0.57,1,135,250,90
0.10,0.18,1,135,250,90
0.61,0.43,1,135,250,90
0.32,0.32,1,135,250,90
0.338,0.100,1,135,250,90
0.86,0.50,1,135,250,90
0.18,0.25,1,135,250,90
0.439,0.115,1,135,250,90
0.637,0.140,1,135,250,90
0.594,0.133,1,135,250,90
0.219,0.79,1,135,250,90
0.61,0.43,1,135,250,90
0.554,0.126,1,135,250,90
0.583,0.133,1,135,250,90
0.25,0.25,1,135,250,90
0.399,0.108,1,135,250,90
0.496,0.118,1,135,250,90
0.18,0.25,1,135,250,90
0.716,0.147,1,135,250,90
0.176,0.72,1,135,250,90
0.608,0.133,2,67,250,90
0.108,0.57,1,135,250,90
0.702,0.147,1,135,250,90
0.648,0.140,1,135,250,90
0.536,0.129,1,135,250,90
0.190,0.75,1,135,250,90
0.237,0.82,1,135,250,90
0.698,0.140,1,135,250,90
0.752,0.151,1,135,250,90
0.82,0.50,1,135,250,90
0.230,0.82,1,135,250,90
0.475,0.118,1,135,250,90
0.633,0.133,1,135,250,90
0.529,0.126,1,135,250,90
0.655,0.144,1,135,250,90
0.61,0.43,1,135,250,90
0.10,0.18,1,135,250,90
0.165,0.72,1,135,250,90
0.61,0.43,1,135,250,90
0.536,0.122,1,135,250,90
0.21,0.25,1,135,250,90
0.154,0.68,1,135,250,90
0.507,0.122,1,135,250,90
0.248,0.86,1,135,250,90
0.288,0.93,1,135,250,90
0.223,0.82,1,135,250,90
0.720,0.151,1,135,250,90
0.61,0.43,1,135,250,90
0.579,0.133,1,135,250,90
0.532,0.126,1,135,250,90
0.61,0.43,2,67,250,90
0.104,0.57,1,135,250,90
0.597,0.136,1,135,250,90
0.86,0.50,1,135,250,90
0.43,0.36,1,135,250,90
0.493,0.122,1,135,250,90
0.536,0.129,1,135,250,90
0.25,0.25,1,135,250,90
0.32,0.32,1,135,250,90
0.219,0.82,1,135,250,90
0.03,0.10,1,135,250,90
0.61,0.43,1,135,250,90
0.702,0.147,1,135,250,90
0.219,0.82,1,135,250,90
0.03,0.10,1,135,250,90
0.507,0.122,1,135,250,90
0.640,0.140,1,135,250,90
0.770,0.154,1,135,250,90
0.61,0.43,1,135,250,90
0.176,0.72,1,135,250,90
0.32,0.32,1,135,250,90
0.162,0.72,1,135,250,90
0.03,0.10,1,135,250,90
0.716,0.144,1,135,250,90
0.230,0.82,1,135,250,90
0.324,0.97,1,135,250,90
0.104,0.57,1,135,250,90
0.435,0.115,1,135,250,90
0.392,0.111,1,135,250,90
0.03,0.10,1,135,250,90
0.72,0.46,1,135,250,90
0.651,0.140,1,135,250,90
0.03,0.10,1,135,250,90
0.194,0.75,1,135,250,90
0.18,0.21,1,135,250,90
0.691,0.144,1,135,250,90
0.183,0.75,1,135,250,90
0.284,0.90,1,135,250,90
0.536,0.129,1,135,250,90
0.637,0.136,1,135,250,90
0.352,0.100,1,135,250,90
0.651,0.136,1,135,250,90
0.392,0.108,1,135,250,90
0.363,0.104,1,135,250,90
0.57,0.39,1,135,250,90
0.115,0.54,1,135,250,90
0.478,0.122,1,135,250,90
0.144,0.64,1,135,250,90
0.194,0.75,1,135,250,90
0.468,0.118,1,135,250,90
0.662,0.144,1,135,250,90
0.32,0.32,1,135,250,90
0.10,0.18,1,135,250,90
0.32,0.32,1,135,250,90
0.702,0.147,1,135,250,90
0.194,0.75,1,135,250,90
0.03,0.10,1,135,250,90
0.61,0.43,1,135,250,90
0.259,0.90,1,135,250,90
0.320,0.97,1,135,250,90
0.82,0.50,1,135,250,90
0.658,0.144,1,135,250,90
0.32,0.32,1,135,250,90
0.61,0.43,1,135,250,90
0.367,0.104,1,135,250,90
0.18,0.21,1,135,250,90
0.03,0.10,1,135,250,90
0.97,0.54,1,135,250,90
0.536,0.129,1,135,250,90
0.640,0.140,1,135,250,90
0.388,0.104,1,135,250,90
0.284,0.90,1,135,250,90
0.331,0.100,1,135,250,90
0.43,0.36,1,135,250,90
0.61,0.43,1,135,250,90
0.349,0.97,1,135,250,90
0.687,0.144,1,135,250,90
0.342,0.97,1,135,250,90
0.507,0.122,1,135,250,90
0.03,0.10,1,135,250,90
0.79,0.46,1,135,250,90
0.61,0.43,1,135,250,90
0.151,0.64,1,135,250,90
0.442,0.115,1,135,250,90
0.770,0.154,1,135,250,90
0.334,0.100,1,135,250,90
0.104,0.57,1,135,250,90
0.435,0.115,1,135,250,90
0.226,0.82,1,135,250,90
0.637,0.140,1,135,250,90
0.61,0.43,1,135,250,90
0.82,0.50,1,135,250,90
0.10,0.18,1,135,250,90
0.93,0.50,2,67,250,90
0.457,0.115,1,135,250,90
0.712,0.147,1,135,250,90
0.129,0.61,1,135,250,90
0.302,0.97,1,135,250,90
0.342,0.104,1,135,250,90
0.320,0.97,1,135,250,90
0.194,0.75,2,67,250,90
0.450,0.115,1,135,250,90
0.226,0.79,1,135,250,90
